Phrase,Neighbours
analytical hierarchy process,"analytical hierarchy, analytic hierarchy process, process optimization software, stochastic process, gaussian process, continuous-time Markov process, dirichlet process"
anderberg algorithms,"sequential algorithms, efficient algorithms, standard computer algorithms, matrix algorithms, recursive algorithms, iterative algorithms, machine learning algorithms, approximation algorithms, search algorithms, classification algorithms"
application crashing,"software application, application design, application programming interface, application programming interfaces, distributed application"
application design,"software design, Software design pattern, user experience design, User interface design, user interface design, software application, web design, application programming interfaces, design patterns, behavioral software design pattern"
application programming interface,"application programming interfaces, microsoft windows application programming interface, user interface software, computer interface, user interface, User interface design, user interface design, user interface structure, programming environments, software application"
application programming interfaces,"application programming interface, microsoft windows application programming interface, programming environments, application design, humancomputer interfaces, Object Oriented Programming, object oriented programming, software application, feature oriented programming, programming language"
applied mathematics,"computational mathematics, discrete mathematics"
approximation algorithm,"approximation algorithms, approximation theory, universal approximation theorem, deterministic approximation, optimization algorithm, algorithm theory, sparse approximation, matching algorithm, deterministic algorithm, polynomial time algorithm"
approximation algorithms,"approximation algorithm, approximation theory, deterministic approximation, efficient algorithms, universal approximation theorem, iterative algorithms, sparse approximation, abstract algorithms, standard computer algorithms, sequential algorithms"
approximation theory,"approximation algorithm, approximation algorithms, universal approximation theorem, deterministic approximation, sparse approximation, optimization theory, algorithm theory, algorithmic complexity theory, complexity theory, probability theory"
arbitrary data structures,"data structures, abstract data structures, data structure, structured data sets, structured data, data abstraction, data objects, data sets, compressed data structure, data elements"
arnoldi iteration,jacobi iteration method
array list,"dynamic array, mutable array, dynamically allocated array, bit array, resizable array, linked list, unrolled linked list, adjacency list"
artificial bee colony algorithm,"baumwelch algorithm, distributed artificial intelligence, karatsuba algorithm, optimization algorithm, algorithm design technique, deterministic algorithm, supervised learning algorithm, artificial neural network, serial algorithm, robbinsmonro optimization algorithm"
artificial consciousness,"synthetic consciousness, machine consciousness, symbolic artificial intelligence, artificial intelligence, traditional artificial intelligence, artificial systems, artificial intelligent agents, artificial neurons, subsymbolic artificial intelligence, distributed artificial intelligence"
artificial intelligence,"traditional artificial intelligence, symbolic artificial intelligence, distributed artificial intelligence, subsymbolic artificial intelligence, artificial intelligent agents, distributed artificial intelligence systems, computational intelligence, artificial neural network, artificial neural networks, virtual intelligence"
artificial intelligent agents,"intelligent agents, intelligent agent, intelligent agent paradigm, artificial intelligence, symbolic artificial intelligence, traditional artificial intelligence, distributed artificial intelligence, intelligent machines, artificial systems, distributed artificial intelligence systems"
artificial neural network,"artificial neural networks, neural network, numeric artificial neural networks, neural networks, physical neural network, physical neural networks, computational neural network models, neural network toolbox, deep neural networks, neural networks training"
artificial neural networks,"artificial neural network, numeric artificial neural networks, neural networks, neural network, physical neural networks, computational neural network models, physical neural network, deep neural networks, neural networks training, neural network toolbox"
artificial neurons,"simulated neurons, artificial neural networks, artificial neural network, artificial neurons stochastic transfer functions, artificial systems, artificial consciousness, numeric artificial neural networks, traditional artificial intelligence, artificial intelligence, symbolic artificial intelligence"
artificial neurons stochastic transfer functions,"artificial neurons, stochastic diffusion search, stochastic process, stochastic gradient descent, simulated neurons, stochastic control, stochastic optimization, stochastic matrix, stochastic version, stochastic differential equations"
artificial systems,"distributed artificial intelligence systems, artificial intelligent agents, systems theory, systems engineering, embedded systems, symbolic artificial intelligence, traditional artificial intelligence, artificial intelligence, systems architecture, distributed artificial intelligence"
assembling sequences,"input sequences, polynomial sequences, bit sequences"
assembly language programmers,"programming language, programming language theory, computer language, programming language semantics, scientific programming language, logic programming language, implementation language, octave scripting language, hardware description language, language model"
association rule learning,"hopfield learning rule, similarity learning, learning theory, learning method, supervised learning model, supervised learning models, polymorphic association, supervised learning, business rule processing, statistical learning theory"
associative arrays,"associative classifier, dynamic prefetched arrays, static arrays"
associative classifier,"associative arrays, classifier chain, margin classifier"
asymptotic analysis,"regression analysis, nonlinear global analysis, functional analysis, linear discriminant analysis, mathematical analysis, bivariate analysis, discriminant function analysis, multivariate analysis, normal discriminant analysis, convergence analysis"
asymptotically efficient multiplication algorithm,"fast multiplication algorithms, matrix multiplication, efficient algorithms, polynomial time algorithm, approximation algorithm, toomcook multiplication, optimization algorithm, deterministic algorithm, greedy algorithm, learning algorithm"
attention mechanisms,
audit trail records,
augmented reality,virtual reality
authentication mechanism,"message authentication codes, data origin authentication"
automata theory,"finite automata theory, systems theory, algorithm theory, combinatorial game theory, algorithmic information theory, graph theory, compiler theory, algorithmic complexity theory, control theory, approximation theory"
automata-based programming,"automatic programming, computer programming, functional programming, Object Oriented Programming, object oriented programming, evolutionary programming, computer programming tasks, logic programming, logic programming languages, programming paradigm"
automatic memory management,"memory management, memory management unit, conventional dynamic memory allocation libraries, special memory allocation libraries, memory allocation, memory protection, memory debuggers, memory debugger, memory sharing, memory search"
automatic programming,"automata-based programming, computer programming, sequential linear programming, linear programming, successive linear programming, programming paradigm, computer programming tasks, functional programming, programming environments, evolutionary programming"
automatic speech recognition,"speech recognition, speech detection, speech processing, speech activity detection, speech processing applications, speech signals, neurocomputational speech processing, speech tagging, gesture recognition, object recognition technology"
autonomic computing,"autonomic networking, human-centered computing, computing machinery, advanced computing environment, computing power, scientific computing, bio-inspired computing, soft computing, numerical computing programs, distributed computing"
autonomic networking,"autonomic computing, active networking, traditional computer networking, synchronous optical networking, delay-tolerant networking, tolerant networking algorithms"
autonomous operation,"autonomous processing nodes, binary operation, bitwise operation"
autonomous processing nodes,"central processing unit, autonomous operation, processing unit, processing power, accelerated processing unit, semiautomatic data processing systems, signal processing, graphics processing unit, digital picture processing, image processing"
avl trees,"thus trees, search trees, binary trees, spanning trees, extended binary trees, join trees, decision trees, clique trees, binary search trees, phylogenetic trees"
axiomatic set theory,"systems theory, control theory, algorithm theory, category theory, automata theory, vague set, algorithmic information theory, finite automata theory, approximation theory, coding theory"
back end,
backfitting algorithm,"forward algorithm, matching algorithm, recursive algorithm, parallel algorithm, supervised learning algorithm, algorithm theory, online algorithm, algorithm design technique, polynomial time algorithm, support vector machines algorithm"
backpropagation based artificial neural networks,"fully recurrent neural networks, recurrent neural networks, artificial neural networks, artificial neural network, recurrent neural network, neural networks, neural network, deep neural networks, continuous-time recurrent neural networks, feedforward neural network"
backward euler method,"implicit euler method, iterative method, numerical method, markowitz method, jacobi iteration method, jacobi method, supervised method, spectral method, heuristic method, learning method"
balanced binary search trees,"balancing binary search tree, binary search trees, self-balancing binary search tree, binary search tree, binary search tree algorithm, binary search tree data structures, search trees, binary trees, extended binary trees, uniform binary search"
balanced tree,"weight-balanced tree, rooted tree, spanning tree generation, ordered tree, tree decomposition, untyped tree structure, parallel tree contraction, tree traversal, tree decompositions, tree contraction"
balancing binary search tree,"self-balancing binary search tree, balanced binary search trees, binary search tree, binary search trees, binary search tree algorithm, binary search tree data structures, uniform binary search, search trees, binary tree, sorted binary tree"
baseline method,"supervised method, evaluation method, numerical method, jacobi method, gaussseidel method algorithm, markowitz method, iterative method, learning method, conjugate gradient method, jacobi iteration method"
basic function,"mathematical function, function abstraction, linear function, continuous function, differentiable function, learnable function class, primitive recursive function, linear objective function, function interaction, computable function"
batch learning techniques,"learning method, supervised machine learning, machine learning tasks, machine learning, supervised learning, supervised learning model, supervised learning models, semi-supervised learning, supervised learning algorithm, computer learning"
batch processing,"processing unit, accelerated processing unit, central processing unit, processing power, complex event processing, signal processing, text processing, image processing, distributed information processing, graphics processing unit"
baudot code,"binary lexicographic code, source code, code libraries, computer code, code development, computer program source code, lexicographic code, code space, google code, code page"
baumwelch algorithm,"sweep line algorithm, gaussseidel method algorithm, artificial bee colony algorithm, plane sweep algorithm, compound algorithm, thomas algorithm, optimization algorithm, algorithm design technique, approximation algorithm, SchÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¶nhageÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂStrassen algorithm"
bayes net,bayes network
bayes network,"bayes net, bayesian network, network browsing, computer network, network architecture, network protocol, network environments, decision network, organizational network, internal network"
bayesian information,"Bayesian information criterion, bayesian network, bayesian networks, generalised bayesian networks, bayesian svm, nonparametric bayesian models, bayesian svms, linear bayesian svm, bayesian kernel support vector machine, information theory"
Bayesian information criterion,"bayesian information, bayesian network, bayesian networks, generalised bayesian networks, nonparametric bayesian models, bayesian svm, bayesian svms, linear bayesian svm, algorithmic information theory, information theory"
bayesian kernel support vector machine,"support vector machines algorithm, support vector machines, vector machine models, linear bayesian svm, bayesian svms, bayesian svm, bayesian networks, generalised bayesian networks, bayesian network, kernel density estimation"
bayesian network,"bayesian networks, generalised bayesian networks, bayesian information, Bayesian information criterion, bayesian svm, bayesian svms, nonparametric bayesian models, linear bayesian svm, bayesian kernel support vector machine, bayes network"
bayesian networks,"bayesian network, generalised bayesian networks, bayesian information, Bayesian information criterion, bayesian svms, bayesian svm, nonparametric bayesian models, linear bayesian svm, bayesian kernel support vector machine, neural networks"
bayesian svm,"bayesian svms, linear bayesian svm, bayesian networks, bayesian network, bayesian information, generalised bayesian networks, Bayesian information criterion, structured svm, bayesian kernel support vector machine, nonparametric bayesian models"
bayesian svms,"bayesian svm, linear bayesian svm, bayesian networks, bayesian network, generalised bayesian networks, bayesian information, Bayesian information criterion, bayesian kernel support vector machine, nonparametric bayesian models"
bcjr algorithm,"karatsuba algorithm, thomas algorithm, viterbi algorithm, support vector machines algorithm, algorithm design technique, algorithm theory, gaussseidel method algorithm, learning algorithm, approximation algorithm, supervised learning algorithm"
behavioral software design pattern,"Software design pattern, software design, application design, design patterns, design pattern, user experience design, User interface design, user interface design, object-oriented design, strategy pattern"
belief network,"deep belief networks, decision network, network architecture, organizational network, computer network, bayesian network, network environments, dependency network, network elements, computer network architecture"
bernstein basis polynomials,"bernstein polynomials, bernstein polynomial"
bernstein polynomial,"bernstein polynomials, bernstein basis polynomials, polynomial expression, characteristic polynomial, polynomial decomposition, graph polynomial, polynomial sequence, polynomial decomposition theorem"
bernstein polynomials,"bernstein basis polynomials, bernstein polynomial, monic polynomials"
beta encoder,beta encoders
beta encoders,beta encoder
bidirectional forwarding detection,"speech detection, feature detection, intrusion detection, speech activity detection, error detection"
big data,"big data applications, data storage, digital data, data stream clustering, data analysis, data mining, data model, data structure, data streaming algorithms, original data"
big data applications,"big data, data storage, data center, data streaming algorithms, digital data, data warehouse, embedded data, multimedia data, data stream clustering, streaming data"
binary arithmetic,"binary operation, binary inputs, binary floating point, binary splitting, compute arithmetic operations, binary file, binary vectors, binary tree, binary lexicographic code, binary space partitioning"
binary dependent variable,"independent variable, linearly dependent, binary operation, binary inputs, binary splitting, binary floating point, binary tree, random binary tree, binary file, binary trees"
binary file,"binary operation, binary splitting, binary inputs, binary tree, binary arithmetic, binary lexicographic code, binary search tree, binary space partitioning, binary search trees, binary trees"
binary floating point,"binary arithmetic, binary inputs, binary vectors, binary operation, binary splitting, binary file, binary space partitioning, binary tree, binary dependent variable, random binary tree"
binary inputs,"binary operation, binary arithmetic, binary splitting, binary file, binary floating point, binary vectors, binary dependent variable, binary tree, binary lexicographic code, binary search tree"
binary lexicographic code,"binary lexicographic codes, lexicographic code, code libraries, source code, binary file, binary tree, binary operation, binary search tree, binary inputs, binary arithmetic"
binary lexicographic codes,"binary lexicographic code, lexicographic code, binary tree, message authentication codes, uniform binary search, binary search tree, binary trees, binary search trees, binary search tree data structures, binary inputs"
binary operation,"binary arithmetic, binary inputs, binary splitting, binary file, binary dependent variable, bitwise operation, binary floating point, binary tree, binary lexicographic code, binary vectors"
binary search tree,"binary search trees, binary search tree algorithm, balanced binary search trees, balancing binary search tree, binary search tree data structures, self-balancing binary search tree, binary tree, binary trees, sorted binary tree, uniform binary search"
binary search tree algorithm,"binary search tree, binary search trees, balanced binary search trees, balancing binary search tree, binary search tree data structures, self-balancing binary search tree, search algorithm, binary tree, search algorithms, sorted binary tree"
binary search tree data structures,"binary search tree, binary search trees, binary search tree algorithm, balanced binary search trees, balancing binary search tree, self-balancing binary search tree, binary tree, binary trees, search data structure, sorted binary tree"
binary search trees,"binary search tree, balanced binary search trees, binary search tree algorithm, balancing binary search tree, binary search tree data structures, binary trees, self-balancing binary search tree, search trees, binary tree, extended binary trees"
binary space partitioning,"binary splitting, binary file, dimensional space, binary arithmetic, binary operation, problem space, binary vectors, storage space, memory space, euclidean space"
binary splitting,"binary operation, binary space partitioning, loop splitting, binary file, binary inputs, generalised loop splitting, binary arithmetic, binary tree, binary trees, sorted binary tree"
binary tree,"binary trees, extended binary trees, binary search tree, random binary tree, sorted binary tree, binary search trees, random binary trees, binary search tree data structures, binary search tree algorithm, bsp tree"
binary trees,"binary tree, extended binary trees, random binary trees, binary search trees, binary search tree, random binary tree, binary search tree data structures, balanced binary search trees, sorted binary tree, thus trees"
binary vectors,"support vectors, row vectors, random vectors, binary inputs, binary floating point, binary arithmetic, binary tree, binary operation, binary splitting, binary trees"
bio-inspired computing,"biologically inspired computing, scientific computing, computing resources, advanced computing environment, computing machinery, human-centered computing, distributed computing environment, autonomic computing, affective computing, computing power"
biodiversity informatics,informatics techniques
biologically inspired computing,"bio-inspired computing, affective computing, advanced computing environment, computing resources, distributed computing environment, distributed computing, statistical computing, soft computing, quantum computing, parallel computing"
bit array,"bit string, bit manipulation, bit manipulations, bit sequences, bit slicing, bit bashing, array list, dynamic array, mutable array, bit twiddling"
bit bashing,"bit string, bit manipulation, bit manipulations, bit slicing, bit sequences, bit array, bit twiddling, residual bit error rate"
bit manipulation,"bit manipulations, bit slicing, bit twiddling, bit bashing, bit sequences, bit string, bit array, residual bit error rate"
bit manipulations,"bit manipulation, bit slicing, bit twiddling, bit bashing, bit sequences, bit string, bit array, residual bit error rate"
bit sequences,"bit string, bit manipulations, bit manipulation, input sequences, bit slicing, bit array, bit bashing, assembling sequences, polynomial sequences, bit twiddling"
bit slicing,"bit manipulation, bit manipulations, bit bashing, bit string, bit sequences, bit array, bit twiddling, residual bit error rate"
bit string,"bit array, bit bashing, bit sequences, bit manipulation, bit manipulations, bit slicing, bit twiddling, residual bit error rate, string kernel, string kernels"
bit twiddling,"bit manipulation, bit manipulations, bit bashing, bit string, bit slicing, bit array, bit sequences, residual bit error rate"
bitwise operation,"bitwise operations, binary operation, autonomous operation"
bitwise operations,"bitwise operation, compute arithmetic operations, numerical operations, matrix operations, data retrieval operations"
bivariate analysis,"multivariate analysis, regression analysis, functional analysis, data analysis, asymptotic analysis, combinatorial data analysis, business analysis, discriminant function analysis, mathematical analysis, normal discriminant analysis"
block cipher,"shift cipher, vigenre cipher, caesar cipher, server message block, block lanczos algorithm, block range index"
block lanczos algorithm,"Symmetric-key algorithm, parallel algorithm, kargerstein algorithm, approximation algorithm, deterministic algorithm, shuffling algorithm, monte carlo algorithm, gaussseidel method algorithm, sweep line algorithm, greedy algorithm"
block range index,"database index, block cipher, block lanczos algorithm, server message block"
boltzmann learning rule,"deep boltzmann machines, deep boltzmann machine, learning theory, computational learning theory, learning vector quantization, machine learning, learning method, learning algorithm, deep learning, machine learning algorithms"
bonferroni testing,
boolean algebra,"boolean operators, boolean functions, boolean logic, boolean function, linear algebra, abstract algebra, computer algebra, numerical linear algebra, relational algebra, computer algebra systems"
boolean function,"boolean functions, boolean operators, boolean logic, boolean algebra, differentiable function, hash function, mathematical function, basic function, logistic function, primitive recursive function"
boolean functions,"boolean function, boolean operators, boolean algebra, boolean logic, hash functions, math functions, primitive recursive functions, general recursive functions, main functions, complex functions"
boolean logic,"boolean function, boolean algebra, boolean functions, boolean operators, logic programming, mathematical logic, logic program, logic gate, logic programming language, classical logic"
boolean operators,"boolean algebra, boolean function, boolean functions, boolean logic"
boosting methods,"Gradient boosting, gradient boosting, lossy methods, computational methods, optimization methods, probabilistic methods, regularization methods, information technology methods, linear regularization methods, spectral methods"
boundary singularity,decision boundary
bounds checking,complexity bounds
brute-force search,"search algorithms, exhaustive search, search algorithm, uniform binary search, classic search algorithms, self-balancing binary search tree, search trees, balancing binary search tree, binary search tree algorithm, balanced binary search trees"
bsp tree,"binary tree, binary search tree, untyped tree structure, rooted tree, balanced tree, plane tree, tree traversal, sorted binary tree, tree decomposition, spanning tree generation"
buffer overflows,buffer overflowsruntime error detection tools
buffer overflowsruntime error detection tools,buffer overflows
business analysis,"business rule processing, structured analysis, functional analysis, mathematical analysis, text analysis, bivariate analysis, multivariate analysis, software performance analysis, structural analysis, convergence analysis"
business rule processing,"business analysis, processing unit, complex event processing, processing power, association rule learning, hopfield learning rule, batch processing, distributed information processing, central processing unit, text processing"
c4 model,"data model, semi-structured model, structured model, graphical model, multinomial model, data base model, statistical model, directed graphical model, generative model, logical data model"
cache coherence,cpu cache
caesar cipher,"caesar shift, vigenre cipher, shift cipher, block cipher"
caesar shift,"caesar cipher, markov shift, shift cipher, mean shift algorithm"
call stack,"stack machine, stack register, main stack register, stack space, method call"
case gradient descent,"gradient descent, stochastic gradient descent"
categorical distribution,"categorical label, multivariate normal distribution, probability distribution, normal distribution, conditional probability distribution, joint probability distribution, gaussian distribution, joint distribution, point distribution model, maximum entropy probability distribution"
categorical label,"categorical distribution, output label"
category theory,"information theory, compiler theory, formal language theory, learning theory, systems theory, axiomatic set theory, complexity theory, algorithm theory, modern decision theory, algorithmic information theory"
central processing unit,"processing unit, accelerated processing unit, processing power, autonomous processing nodes, graphics processing unit, semiautomatic data processing systems, batch processing, signal processing, text processing, digital picture processing"
certificate-based encryption,"data encryption standard, advanced encryption standard, encryption keys, encryption algorithm, encryption algorithms, deterministic encryption, deterministic encryption scheme, probabilistic encryption scheme, disk encryption software, deterministic encryption schemes"
character encoding,"character recognition, range encoding, character sets, delta encoding, character map, optical character recognition"
character map,"map function, character sets, character recognition, character encoding, optical character recognition"
character recognition,"optical character recognition, character encoding, character sets, image recognition, gesture recognition, pattern recognition, character map, speech recognition, recognition tasks, handwriting recognition"
character sets,"character recognition, character encoding, character map, fuzzy sets, ordered sets, optical character recognition, data sets, structured data sets"
characteristic polynomial,"polynomial expression, bernstein polynomial, polynomial sequence, polynomial decomposition, graph polynomial, polynomial decomposition theorem"
chi-square automatic interaction detection,"3d user interaction systems, feature detection, 3d user interaction system, computer interaction, 3d user interaction techniques, automatic speech recognition, humancomputer interaction, 3d user interaction, speech detection, speech activity detection"
child nodes,"child vertices, leaf nodes, autonomous processing nodes"
child vertices,"adjacent vertices, neighbouring vertices, child nodes"
cholesky decomposition,"cholesky factorization, cholesky factor, orthogonal decomposition, polynomial decomposition, orthogonal decomposition methods, interpolative decomposition, polynomial decomposition theorem, matrix decomposition, tree decomposition"
cholesky factor,"cholesky factorization, cholesky decomposition"
cholesky factorization,"cholesky factor, cholesky decomposition, non-negative matrix factorization, integer factorization algorithms"
circulant matrix,"system matrix, density matrix, matrix operations, inverse matrix, matrix algorithms, adjacency matrix, matrix decomposition, matrix multiplication, matrix decompositions, correlation matrix"
classic ad hoc,"mobile ad hoc networks, classic search algorithms"
classic search algorithms,"search algorithms, search algorithm, exhaustive search, search trees, balanced binary search trees, binary search tree algorithm, graph search, online algorithms, binary search trees, search data structure"
classical backpropagation rule,"classical logic, business rule processing, boltzmann learning rule, hopfield learning rule, association rule learning, classical computer"
classical computer,"theoretical computer science, computer science, computer language, computer systems, computer architecture, computer science fields, computer architectures, digital computer, computer program, quantum computer"
classical logic,"mathematical logic, computational logic, logic programming, logic program, predicate logic, propositional logic, logic programming language, first order logic, logic programming languages, digital logic"
classification accuracy,"classification performance, classification criteria, classification problem, classification algorithms, statistical classification, classification tasks, fuzzy classification, multi-label classification, fuzzy classification predicate, multiclass classification"
classification algorithms,"classification problem, classification tasks, classification performance, classification criteria, classification accuracy, prototype-based supervised classification algorithm, statistical classification, machine learning algorithms, prediction algorithms, fuzzy classification"
classification criteria,"classification problem, classification performance, classification tasks, classification accuracy, statistical classification, classification algorithms, multiclass classification, multi-label classification, fuzzy classification predicate, fuzzy classification"
classification performance,"classification accuracy, classification tasks, classification criteria, classification problem, classification algorithms, statistical classification, multiclass classification, multi-label classification, fuzzy classification, fuzzy classification predicate"
classification problem,"classification criteria, classification performance, classification algorithms, classification tasks, classification accuracy, statistical classification, fuzzy classification predicate, fuzzy classification, multi-label classification, multiclass classification"
classification tasks,"classification performance, classification criteria, classification problem, classification algorithms, recognition tasks, classification accuracy, statistical classification, multiclass classification, multi-label classification, fuzzy classification predicate"
classifier chain,"associative classifier, margin classifier, markov chain, markov chain monte carlo, markov chain monte carlo sampler"
clipper processors,"scalar processors, computer processors, network processors, single core processors"
clique trees,"join trees, thus trees, spanning trees, avl trees, decision trees, search trees, binary trees, extended binary trees, phylogenetic trees, gradient boosted trees"
clock cycle,
