Phrase,Neighbours
absolute position,"relative position, particular position, absolute value, absolute stability, angular position, absolute certainty, hm that finds the position of a target value within a sorted array. !! In computer science"
absolute stability,"stability model, absolute certainty, absolute value, absolute position"
absolute value,"maximum value, overall value must, absolute position, primary value, value associated, expected value, absolute certainty, truth value, financial value, absolute stability"
abstract algebra,"using abstract algebra, basic linear algebra, linear algebra, relational algebra, applied linear algebra, abstract question, abstract algorithms, abstract problem, numerical linear algebra, computer algebra"
abstract algorithms,"possible algorithms, algorithms like, specific algorithms, implement algorithms, constructing algorithms, known algorithms, various algorithms, several algorithms, algorithms based, efficient algorithms"
abstract data structures,"abstract data structures receive, data structures, arbitrary data structures, data structure, abstract data types, structured data, abstract data type, evaluate data structures, compressed data structures include, abstract graphical data type"
abstract data structures receive,"abstract data structures, data structures, arbitrary data structures, abstract data type, evaluate data structures, abstract data types, data structure, structured data, abstract graphical data type, compressed data structures include"
abstract data type,"abstract data types, abstract graphical data type, abstract data structures, abstract data structures receive, abstract framework, data type defines, data type, abstract interpretation consists, data type provides, primitive data types"
abstract data types,"abstract data type, abstract graphical data type, abstract data structures, abstract framework, abstract data structures receive, abstract interpretation consists, data types related, data type, primitive data types, data type provides"
abstract document pattern,"abstract document pattern allows, document pattern, abstract framework, document content, document types, abstract problem, abstract question, abstract data type, abstract data types, section illustrates abstract interpretation"
abstract document pattern allows,"abstract document pattern, document pattern, abstract framework, abstract interpretation consists, section illustrates abstract interpretation, abstract data types, abstract data type, document types, document content, abstract data structures"
abstract family,"abstract family of languages, new family, abstract question, abstract algebra, abstract framework, using abstract algebra, abstract problem, abstract document pattern, abstract data types, abstract data type"
abstract family of languages,"many languages, formal languages, formal languages studied, recursively enumerable languages, free languages, two languages, asymmetric languages, induction of regular languages, abstract family, regular languages"
abstract framework,"abstract data type, abstract ideas, abstract document pattern, abstract data types, abstract document pattern allows, abstract interpretation consists, abstract question, abstract data structures, abstract machines, section illustrates abstract interpretation"
abstract graphical data type,"abstract data type, abstract data types, abstract data structures, data type, data type provides, data type defines, abstract data structures receive, graphical program elements, abstract framework, data representation framework created"
abstract ideas,"abstract framework, core ideas, abstract question, abstract machines, abstract algebra, abstract interpretation consists, abstract problem, abstract data types, abstract algorithms, abstract data type"
abstract interpretation consists,"section illustrates abstract interpretation, abstract framework, abstract data types, abstract question, abstract data type, abstract document pattern allows, abstract ideas, abstract algebra, abstract document pattern, using abstract algebra"
abstract machines,"abstract state machines, abstract state machine, abstract algorithms, intelligent machines, abstract framework, abstract ideas, possible machines, abstract question, made machines, make machines"
abstract problem,"abstract question, using abstract algebra, abstract algorithms, abstract algebra, abstract document pattern, abstract ideas, abstract framework, abstract machines, single abstract comparison operation, abstract family"
abstract question,"abstract problem, abstract ideas, abstract interpretation consists, abstract framework, abstract algebra, using abstract algebra, section illustrates abstract interpretation, abstract algorithms, abstract document pattern, abstract machines"
abstract state machine,"abstract state machines, abstract machines, finite state machine, state machines, state machine, state machine operating, abstract algorithms, abstract framework, object whose state cannot, state diagrams require"
abstract state machines,"abstract state machine, abstract machines, finite state machines, state machines, state machine, possible machines, state machine operating, state diagrams require, intelligent machines, abstract algorithms"
abstraction representing,"function abstraction, data abstraction, various interfaces representing, neural abstraction pyramid, representing solutions, data element representing, physical quantity representing, lines representing, images representing letters"
ac  also known,"also known, also called, slp  also known, also referred, commonly known, sometimes also known, also use, apu  formerly known, originally known, also used"
academic conference,"major conference, annual conference, joint international conference, gordon research conference, immersive design conference"
accelerated processing unit,"amd accelerated processing unit, amd accelerated processing units, processing unit, processing power, central processing unit, processing executing, graphics processing unit, batch processing, bit central processing unit, processing points"
access control,"access control system, physically controlling access, bypass access controls, control system based, allow access, access management describes, take control, adaptive control, control moving, first access"
access control system,"access control, control system based, bypass access controls, physically controlling access, allow access, fuzzy control system, access management describes, fuzzy control systems, control moving, desired control task"
access information,"contains information, information may, collecting information, use information items, related information used, manage information, managing information, gathering information, information system, provide information based"
access management describes,"resource management applied, access information, access control, management literature, access control system, object management group, personal information management, providing shared access, remote access policy specifies, remote access policy"
accessing array elements,"contiguously accessed array elements within, array list, dynamic array may use, bit array, simple dynamic array, dynamic array, dynamically allocated array, underlying array, simpler array indexing operation, list elements"
accomplish goals,"achieve goals, accomplishing user goals, umbrella organisation whose goals"
accomplished today,"widely used today, olap systems today, like many consumer cpus today"
accomplishing user goals,"accomplish goals, user desires, user needs, user working, enhance user experience, user research, manage user profiles, user experience design, user input, user virtualization solutions provide consistent"
account dynamic behaviour,"solving behaviour, intelligent foraging behaviour"
accra declaration,accra declaration confirmed
accra declaration confirmed,accra declaration
acct uri scheme,"uri normalization, web crawlers perform uri normalization, search engines employ uri normalization, encryption scheme utilized, deterministic encryption scheme, probabilistic encryption scheme, mit scheme"
accurate identification method,"evaluation method, proof method, alternative method, obtain increasingly accurate eigenvalue estimates, supervised method, method used, gaussseidel method algorithm, scientific method, software verification method, learning method"
accurately provide approximate answers,"use approximate solutions, find approximate solutions, approximate optimal solutions, answers may, giving exact symbolic answers translated, generalized answers, approximate inference methods make, provide ways, finds approximate eigenvalues, approximate real numbers  characters"
achieve goals,"accomplish goals, umbrella organisation whose goals, authors achieve performance double, achieve significant compression, achieve polymorphic behavior"
achieve polymorphic behavior,"polymorphic association, polymorphic recursion, recursive parametrically polymorphic function, based program analysis polymorphic recursion, yield intelligent behavior, linear behavior, expected theoretical behavior, encapsulate varying behavior, good behavior, collective behavior"
achieve significant compression,"compression rate, compression schemes, data compression, lossless compression, normalized compression distance, common lossless compression algorithms, almost lossless data compression, lossless compression algorithm, purpose lossless compression algorithm, sometimes called delta compression"
acm sigmetrics 2006,"acm symposium, annual acm symposium, seventh annual acm symposium, eighth annual acm symposium, sixth annual acm symposium, acm trans, boston 2006 isbn 0"
acm symposium,"annual acm symposium, seventh annual acm symposium, eighth annual acm symposium, sixth annual acm symposium, acm sigmetrics 2006, acm trans, international symposium, ieee international symposium, acm symposium on user interface software and technology, fortran usage  acm trans"
acm symposium on user interface software and technology,"user interface software, user interface, User interface design, user interface design, user interfaces, user interface design requires, user interface structure, computer interface, application programming interface, mixed reality user interfaces workshop"
acm trans,"fortran usage  acm trans, acm symposium, acm sigmetrics 2006, annual acm symposium, eighth annual acm symposium, sixth annual acm symposium, seventh annual acm symposium"
acoustic model,"contact acoustic wave generation, physical model, mathematical model, language model, electromagnetic acoustic transducer, pronunciation model, statistical language model, model nonlinear processes, idealized model, structured model"
acoustical devices,"typical devices, input devices  physical environments, many devices, smart electronic devices, advanced micro devices, multiple devices, connects attached devices directly, different input devices, ambient intelligence would allow devices, computational devices proposed"
across concrete examples,"concrete objects, two examples, known examples, important examples, common examples, examples discussed, following examples, simple examples, examples section, computing examples"
acs comb,"acs combinatorial science, acs combinatorial science publishes articles"
acs combinatorial science,"acs combinatorial science publishes articles, combinatorial chemistry, acs comb, combinatorial data analysis, solving combinatorial problems, science seeking, computer science fields, field include computational materials science, theorem  computer science, computer science subfields"
acs combinatorial science publishes articles,"acs combinatorial science, combinatorial chemistry, combinatorial data analysis, theorem  computer science, information science, computer science fields, acs comb, solving combinatorial problems, computer science intended, computer science"
action potential firing,"mean firing rate, least action, optimal action, potential inputs, ignoring potential problems, instruction take action contingent, potential source variables, many potential implementations, potential users"
activation function,"activation functions, common activation functions, nonlinear activation functions allow, indicator function ia, important function, function interaction, another function, objective function, exact function, membership function"
activation functions,"activation function, common activation functions, nonlinear activation functions allow, indicator functions, observed immune functions, evaluation functions, functions measuring, complex functions, main functions, odd functions"
active networking,"active networking allows, active networking relates, implementing active networking concepts, autonomic networking, delay-tolerant networking, provide suitable mobile networking technology"
active networking allows,"active networking, active networking relates, implementing active networking concepts, allows users, allows multiple high, allows directed graphs, allows one, allows self, structured svm allows training, aforementioned definition allows"
active networking relates,"active networking, active networking allows, implementing active networking concepts, inspired computing relates"
activities people perform,"perform work, activities used, people use, perform tasks, programs often perform, perform single, unintentionally perform, people often produce music, perform lookups, many people"
activities used,"everyday life activities, occasionally used, also used, activities people perform, frequently used, often used, technique used, commonly used, techniques used, used often"
activity following requirements specification,"satisfy specified requirements, business requirements, software requirements analysis, specification prescribes, certain formal specification, specification language, formal specification, also software design specification, language specification, open specification"
activity involved,"social aspects involved, activity following requirements specification, voice activity detection plays, speech activity detection, voice activity detection, involved merging, increasing legal risks involved"
actual performance,"desired performance, specified typical performance, improve performance, human performance, provide high performance, provide performance well beyond, system performance, performance analyzer, compare performance, audio performance"
actual word classification,"classification accuracy, classification criteria, classification performance, output classification, classification problem, statistical classification, classification tasks, multi-label classification, classification algorithms, independent classification tasks"
actually define,"actually encodes information, authors define, leading ai textbooks define, digital empathy define digital empathy"
actually encodes information,"encodes differences, access information, information architecture, communicate information clearly, corresponding information systems, information interchange, related information used, contains information, transmit information concerning e, collecting information"
actuated joints,
adaptive control,"adaptive systems, control system based, control moving, control theory, adaptive filters, model predictive control, adaptive methods, take control, taking control, stochastic optimal control"
adaptive equalizer,"adaptive equalizers, adaptive filters, adaptive systems, adaptive control, adaptive predictive coding, adaptive huffman coding, greedy randomized adaptive search procedure, using adaptive sparse grids"
adaptive equalizers,"adaptive equalizer, adaptive filters, adaptive methods, adaptive systems, adaptive control, adaptive predictive coding, adaptive huffman coding, using adaptive sparse grids, greedy randomized adaptive search procedure"
adaptive filters,"analog filters, digital filters, adaptive control, adaptive methods, adaptive equalizer, adaptive equalizers, adaptive systems, adaptive predictive coding, composition filters, adaptive huffman coding"
adaptive huffman coding,"huffman coding, adaptive predictive coding, adaptive filters, coding theory, adaptive equalizer, adaptive equalizers, temporal coding, address windowing extensions coding example, range coding, temporal coding allows"
adaptive methods,"adaptive systems, based methods, efficient methods known, adaptive filters, adaptive control, effective methods exist, two methods, methods including, adaptive equalizers, several methods"
adaptive predictive coding,"adaptive huffman coding, adaptive filters, coding theory, temporal coding, temporal coding allows, adaptive systems, adaptive equalizer, adaptive equalizers, adaptive methods, adaptive control"
adaptive systems,"adaptive control, adaptive methods, artificial systems, based systems, similar systems, systems used, systems engineering, adaptive filters, systems design, systems architecture"
add two numbers,"adding two n, given two integers n, assigning numbers, integer numbers, first add, point numbers, simple rational numbers, natural numbers starting, two elements, called two"
added together,"bring together, works together, work together, deployed together, nonempty set together, integer programming together, drawing together humanists engaged, together mcdowell, two photons together, fire together wire together"
adder units,"basic units, units of information, unanalyzable units, select adder, redundant functional units, amd accelerated processing units, select adder generally consists, gated recurrent units"
adding edges,"multiple edges, usually called edges, uses bidirected edges, edges whose removal would partition, adding two n, adding potentially non"
adding potentially non,"adding two n, potentially involving, important role since non, potentially poses problems, selecting potentially useful solutions, adding edges, potentially heterogeneous implementations depending, potentially malicious devices"
adding two n,"add two numbers, given two integers n, called two, two specific sets, two parts, two letters, two elements, adding potentially non, two convex sets, two distinct"
additional information,"necessary information, related information used, information may, contains information, gathering information, limited information, online information, required information content, storing additional information, information interchange"
additional radio receiver,"different radio technologies, additional information, storing additional information, additional storage much less, additional writes"
additional storage much less,"significantly less space, takes significantly less space, less costly, much less, storing additional information, much larger lists available, less writing, much weaker, often much, additional information"
additional writes,"additional information, storing additional information, additional storage much less, additional radio receiver"
additionally requires,"requires finding, class requires, reasoning requires, requires manipulation, optimization software requires, user interface design requires, using artificial neural networks requires, smoothness assumption additionally yields, since static hashing requires"
additive guarantee,"generalized additive model, generalized additive models"
address complex real,"address space, real number, virtual address space, real numbers, complex number storage, term complex data type, complex data type, complex functions, real op, several real networks"
address pool,"address pool may, ip address pool, ipv6 address pool, address space, entire data pool, total ipv4 address pool contains 4294967296, limited address space, ip address, virtual address space, mac address"
address pool may,"address pool, ip address pool, ipv6 address pool, entire data pool, total ipv4 address pool contains 4294967296, address space, banking application may, limited address space, ip address, mac address"
address space,"limited address space, virtual address space, virtual memory address space, address complex real, code space, ip address, address pool, problem space, ip address pool, space available"
address windowing extensions coding example,"address space, adaptive huffman coding, limited address space, adaptive predictive coding, coding theory, example input, example strings, several optional extensions, virtual address space, range coding"
addresses story,"physical addresses, virtual memory addresses"
addressing various design concerns,"design principles, describing design, design problem, design philosophy, describes design work, design discipline, design modifications must, design systems, design approaches like human, design patterns"
adele cutler,
adjacency list,"adjacency list uses, adjacency list describes, adjacency list representation, adjacency list data structure, empty list consists, unordered list within, array list, list elements, linked list, doubly linked list"
adjacency list data structure,"adjacency list, adjacency list uses, adjacency list describes, adjacency list representation, data structure, data structures, abstract data structures, data structure returns, arbitrary data structures, search data structure"
adjacency list describes,"adjacency list, adjacency list uses, adjacency list representation, adjacency list data structure, empty list consists, describes executable code, describes design work, unordered list within, array list, database tuning describes"
adjacency list representation,"adjacency list, adjacency list describes, adjacency list uses, adjacency list data structure, based representation, data representation framework created, finite representation, representation learning, intermediate representation, compact representation"
adjacency list uses,"adjacency list, adjacency list describes, adjacency list data structure, adjacency list representation, practical uses, empty list consists, uses association rules, unordered list within, array list, rational series uses"
adjacency matrix,"matrix structures, matrix containing, given matrix, system matrix, original matrix, inverse matrix, matrix operations, matrix analysis, square matrix, degree matrix"
adjacent layers,"multiple interconnected layers, hidden layers, traditional convolutional layers, global pooling layers along, pooling layers, normalization layers, pooling layers reduce, adjacent vertices"
adjacent vertices,"neighbouring vertices, vertices connected, child vertices, adjacent layers"
adjusted significance testing,"past testing, microprogrammed significance arithmetic, perioperative testing, bonferroni testing, 000 testing images, military significance"
adjusting form,"simplified form, usable form, basic form, another form, basic form uses, single form, electronic form, general form, normal form used, simplest form"
adjusting heap,"heap data structure implemented, skew heap, meldable heap, randomized meldable heap, skew heap would, adjusting form"
administrator password,password provided
admit functional extension,"mathematical extension, functional arguments, functional programming, functional values, functional architecture, functional analysis, functional programming community, functional presence engines, functional optimization, functional presence engine"
advance soon becomes obsolete,
advanced computing environment,"distributed computing environment, inspired computing uses, computing resources, inspired computing, soft computing, computing machinery, symposium on theory of computing, computing examples, distributed computing, scientific computing"
advanced encryption standard,"data encryption standard, widely known encryption techniques, encryption scheme utilized, encryption algorithm, encryption algorithms, manual symmetric encryption technique, encryption keys, based encryption, certificate-based encryption, probabilistic encryption scheme"
advanced message queuing protocol,"network protocol, industrial protocol, wireless routing protocol, message authentication codes, message facilitates structure mining, advanced computing environment, advanced encryption standard, error message, advanced micro devices, advanced statistical analysis techniques"
advanced micro devices,"smart electronic devices, typical devices, multiple devices, many devices, computational devices proposed, mobile computing devices, input devices  physical environments, connects attached devices directly, potentially malicious devices, built advanced"
advanced statistical analysis techniques,"statistical papers, statistical model, statistical modeling, statistical model derived, statistical model comparison, statistical computing, statistical properties, data analysis, regression analysis, numerical analysis finds application"
advanced textiles,"built advanced, advanced micro devices, advanced computing environment, advanced statistical analysis techniques, advanced message queuing protocol, advanced encryption standard"
advantage made possible,"main advantage, primary advantage, main advantage gained, take advantage, one advantage, take full advantage, made possible, made sense, possible outcomes, possible even"
adversely affect,"facial affect detection, affect digital circuits"
advertising  proceedings,"pdf  proceedings, network games  proceedings, larry stockmeyer  proceedings"
affect digital circuits,"digital circuits, digital circuit design used, digital logic, scale integration circuits, digital transmission, quantum circuits, transformed using digital computers, digital computer, digital network, digital signal"
affected differently,"mainly affected, linear equations behave differently"
affective computing,"using affective computing technology, another area within affective computing, book affective computing published, study affective states, inspired computing uses, inspired computing, inspired computing relates, biologically inspired computing, computing examples, human-centered computing"
affects neural processing,"neural information processing workshop, biologically inspired neural networks, neural network, differentiable neural computers, neural networks, neural turing machines, neural abstraction pyramid, recurrent neural nets, physical neural networks, physical neural network"
aforementioned definition,"aforementioned definition allows, commonly accepted definition, broader definition, new definition, stricter definition, strict definition, recursive definition using, single definition, everyday usage definition, clear definition"
aforementioned definition allows,"aforementioned definition, commonly accepted definition, allows one, allows self, broader definition, allows elements, new definition, strict definition, allows users, explicit edge objects allows"
agent creates,"intelligent agent, intelligent agent paradigm, mobile software agent, reinforcement learning agent"
agile database modeling technique suited,"database model, relational database models, database systems, hierarchical database modelit, data modeling, database tuning aims, relational database theory, data modeling defines, resulting relational database schema, database tuning describes"
ahead adders,carry adders
ahp  also analytical hierarchy process,"analytical hierarchy process, analytical hierarchy, analytic hierarchy process, analytical hierarchy process moves forward, hierarchy based, analytical objects, also software design specification, also avoids repeated evaluations, ip address allocation hierarchy, also cluster objects"
ai alignment,"build ai systems, ai control problem, ai control problem might, leading ai textbooks define, existing weak ai, manifold alignment, emotion ai, sequence alignment generally fall, 1987 ai magazine article, spectre ai incorporated"
ai control problem,"ai control problem might, existing weak ai, ai alignment, control theory, control system based, desired control task, control moving, adaptive control, fuzzy control systems, fuzzy control system"
ai control problem might,"ai control problem, control theory, existing weak ai, ai alignment, desired control task, model predictive control, investigated fuzzy control, studied fuzzy control, control system based, control moving"
aid rather,"rule rather, name rather, meeting software requirements rather, physical rather, describe information systems rather, sequential data rather, first row rather"
alarm signal used,"car alarm, signal processing, digital signal, input signal, signal generation, analog signal, digital signal processing, minimum acceptable signal, signal prior, minimum intelligent signal test"
alex mcdowell coined,"together mcdowell, originally coined, alex nugent describes, coined around 1992"
alex nugent describes,"alex mcdowell coined, adjacency list describes, describes design work, access management describes, describes executable code, composite pattern describes, database tuning describes"
alexander stepanov,
algebraic combinatorics,"enumerative combinatorics, algebraic theories, algebraic properties, algebraic geometry"
algebraic geometry,"algebraic theories, algebraic properties, computational geometry, algebraic combinatorics"
algebraic properties,"algebraic theories, algebraic geometry, fixed topological properties, numerical linear algebra uses properties, varying properties, interesting properties, algebraic combinatorics, many properties, measuring properties, statistical properties"
algebraic theories,"algebraic properties, algebraic geometry, algebraic combinatorics, dimensional theories, different theories, theories  synthese, cognitive theories"
algorithm design technique,"algorithmic design, algorithm used, algorithm using, algorithmic mechanism design, 2007  algorithmic mechanism design, algorithm theory, optimization algorithm based, algorithmic mechanism design differs, particular algorithm, optimization algorithm"
algorithm repeatedly,"algorithm used, algorithm using, particular algorithm, algorithm theory, different algorithm, repeatedly calculating, greedy algorithm, first algorithm, sequential algorithm, algorithm design technique"
algorithm still performs well,"algorithm repeatedly, different algorithm, algorithm using, desired output algorithm, provide performance well beyond, backfitting algorithm, matching algorithm, search algorithm similar, forward algorithm, sequential algorithm"
algorithm theory,"algorithmic information theory, algorithm used, algorithm using, particular algorithm, algorithm design technique, different algorithm, algorithmic complexity theory, optimization theory, learning algorithm, algorithm repeatedly"
algorithm used,"algorithm using, particular algorithm, algorithm design technique, algorithm theory, optimization algorithm based, seeking algorithm, optimization algorithm, learning algorithm, algorithm repeatedly, online algorithm"
algorithm using,"algorithm used, particular algorithm, different algorithm, algorithm design technique, algorithm theory, first algorithm, seeking algorithm, optimization algorithm based, learning algorithm, online algorithm"
algorithmic assignment,"algorithmic paradigm, algorithmic design, algorithmic information theory, algorithmic mechanism design, algorithmic complexity theory, 2007  algorithmic mechanism design, algorithmic mechanism design differs"
algorithmic complexity theory,"computational complexity theory, complexity theory, computational complexity theory tries, computational complexity, computational complexity theory focuses, algorithmic information theory, parameterized complexity, algorithm theory, full complexity, dimensional complexity theory"
algorithmic design,"algorithmic mechanism design, algorithm design technique, 2007  algorithmic mechanism design, algorithmic mechanism design differs, algorithmic paradigm, algorithmic assignment, algorithmic information theory, design systems, oriented design, design patterns"
algorithmic information theory,"algorithm theory, algorithmic paradigm, algorithmic complexity theory, information theory, algorithmic design, algorithmic assignment, algorithmic mechanism design, 2007  algorithmic mechanism design, algorithmic mechanism design differs, information architecture"
