Phrase,Neighbours
accurate identification method,"evaluation method, proof method, supervised method, gaussseidel method algorithm, scientific method, software verification method, learning method, numerical method, baseline method, iterative method"
acoustic model,"mathematical model, language model, pronunciation model, statistical language model, model nonlinear processes, structured model, geometrical model, statistical model, model sequences, generative model"
activation function,"activation functions, function interaction, objective function, exact function, membership function, basic function, observation function, function abstraction, transition function, function evaluates"
activation functions,"activation function, evaluation functions, complex functions, main functions, math functions, sigmoid functions, empirical orthogonal functions, fold functions, business functions, hash functions"
active networking,"traditional computer networking, autonomic networking, delay-tolerant networking, tolerant networking algorithms, synchronous optical networking"
adaptive equalizer,"adaptive equalizers, adaptive filters, adaptive systems, adaptive predictive coding, adaptive huffman coding"
adaptive equalizers,"adaptive equalizer, adaptive filters, adaptive systems, adaptive predictive coding, adaptive huffman coding"
adaptive filters,"digital filters, adaptive equalizer, adaptive equalizers, adaptive systems, adaptive predictive coding, composition filters, adaptive huffman coding"
adaptive huffman coding,"huffman coding, adaptive predictive coding, adaptive filters, coding theory, adaptive equalizer, adaptive equalizers, temporal coding, range coding, adaptive systems"
adaptive predictive coding,"adaptive huffman coding, adaptive filters, predictive analytics, predictive model, adaptive systems, adaptive equalizer, adaptive equalizers, model predictive control"
adaptive systems,"artificial systems, systems engineering, adaptive filters, systems architecture, systems theory, adaptive equalizer, adaptive equalizers, embedded systems, dynamical systems theory, computational systems"
address pool,"ip address pool, ipv6 address pool, address space, ip address, virtual address space, mac address, virtual memory address space"
address space,"virtual address space, virtual memory address space, code space, ip address, address pool, problem space, ip address pool, mac address, state space, stack space"
adjacency list,"adjacency list data structure, adjacency matrix, array list, linked list, doubly linked list, unrolled linked list"
adjacency list data structure,"adjacency list, adjacency matrix, data structure, data structures, abstract data structures, structured data, structured data sets, arbitrary data structures, search data structure, data sets"
adjacency matrix,"adjacency list, matrix structures, adjacency list data structure, system matrix, inverse matrix, matrix operations, matrix analysis, degree matrix, matrix equations, matrix decomposition"
adjacent vertices,"neighbouring vertices, child vertices"
advanced computing environment,"distributed computing environment, computing resources, soft computing, computing machinery, distributed computing, scientific computing, computing power, numerical computing programs, bio-inspired computing, human-centered computing"
advanced encryption standard,"data encryption standard, encryption algorithm, certificate-based encryption, deterministic encryption scheme, deterministic encryption schemes, deterministic encryption, probabilistic encryption scheme, disk encryption software, public key encryption models, disk hardware encryption"
advanced message queuing protocol,"internet protocol suite, server message block, industrial protocol, file exchange protocol, dynamic host configuration protocol, wireless routing protocol, minimum message length, message authentication codes, error message"
affective computing,"biologically inspired computing, human-centered computing, advanced computing environment, scientific computing, bio-inspired computing, computing power, computing resources, distributed computing environment, computing machinery, statistical computing"
ai alignment,manifold alignment
ai control problem,"control theory, fuzzy control systems, fuzzy control system, model predictive control, stochastic optimal control, stochastic control, revision control software, optimization problem, linear quadratic gaussian control, optimality problem"
algebraic theories,"dimensional theories, cognitive theories"
algorithm design technique,"algorithmic design, algorithmic mechanism design, 2007  algorithmic mechanism design, algorithm theory, optimization algorithm, learning algorithm, support vector machines algorithm, polynomial time algorithm, supervised learning algorithm, online algorithm"
algorithm theory,"algorithmic information theory, algorithm design technique, algorithmic complexity theory, optimization theory, learning algorithm, polynomial time algorithm, approximation algorithm, greedy algorithm, deterministic algorithm, thomas algorithm"
algorithmic assignment,
algorithmic complexity theory,"computational complexity theory, complexity theory, computational complexity, algorithmic information theory, algorithm theory, dimensional complexity theory, time complexity, complexity bounds, algorithmic paradigm, optimization theory"
algorithmic design,"algorithmic mechanism design, algorithm design technique, 2007  algorithmic mechanism design, design patterns, design pattern, design problem, object-oriented design, Software design pattern, application design, software design"
algorithmic information theory,"algorithm theory, algorithmic paradigm, algorithmic complexity theory, information theory, information architecture, optimization theory, quantum information theory, information system, computational learning theory, systems theory"
algorithmic mechanism design,"2007  algorithmic mechanism design, algorithmic design, algorithm design technique, design pattern, design problem, design patterns, object-oriented design, Software design pattern, application design, User interface design"
algorithmic paradigm,"algorithmic information theory, algorithmic complexity theory, programming paradigm, intelligent agent paradigm"
amazon prime video,video sequence
ambient networks,"terrestrial networks, sensor networks, directed networks, heterogeneous networks, progressive networks, generative adversarial networks, semantic networks, router networks, artificial neural networks, neural networks"
amd accelerated processing unit,"amd accelerated processing units, accelerated processing unit, processing unit, processing power, central processing unit, bit central processing unit, graphics processing unit, batch processing, computer hardware unit, digital signal processing"
amd accelerated processing units,"amd accelerated processing unit, accelerated processing unit, processing unit, processing power, central processing unit, bit central processing unit, graphics processing unit, batch processing, digital signal processing, data processing industry"
amdahl's law,"de morgan's law, fitts's law"
analog filters,"composition filters, analog signal, analog recording"
analog recording,"analog signal, analog filters"
analog signal,"digital signal, analog recording, signal generation, signal processing, digital signal processing, analog filters, input signal"
analog-to-digital converter,
analytic hierarchy process,"analytical hierarchy process, analytical hierarchy, computational process, analytic number theory, process optimization software, gaussian process, stochastic process, continuous-time Markov process, dirichlet process, time markov process"
analytic number theory,"number theory, algorithmic information theory, analytic hierarchy process, information theory, algorithmic complexity theory, complexity theory, computational complexity theory, modern decision theory, dimensional complexity theory, quantum information theory"
analytical hierarchy,"analytical hierarchy process, analytic hierarchy process"
analytical hierarchy process,"analytical hierarchy, analytic hierarchy process, process optimization software, stochastic process, gaussian process, continuous-time Markov process, dirichlet process, process plant, process pixel data"
anderberg algorithms,"sequential algorithms, efficient algorithms, standard computer algorithms, matrix algorithms, recursive algorithms, iterative algorithms, machine learning algorithms, approximation algorithms, search algorithms, classification algorithms"
application crashing,"software application, application design, application programming interface, application programming interfaces, distributed application"
application design,"software design, Software design pattern, user experience design, software design description, User interface design, user interface design, software application, web design, application programming interfaces, design patterns"
application programming interface,"application programming interfaces, microsoft windows application programming interface, user interface software, computer interface, user interface, User interface design, user interface design, user interface structure, programming environments, software application"
application programming interfaces,"application programming interface, microsoft windows application programming interface, programming environments, application design, humancomputer interfaces, Object Oriented Programming, object oriented programming, software application, feature oriented programming, programming language"
applied mathematics,"computational mathematics, discrete mathematics"
approximation algorithm,"approximation algorithms, approximation theory, universal approximation theorem, deterministic approximation, optimization algorithm, algorithm theory, sparse approximation, matching algorithm, deterministic algorithm, polynomial time algorithm"
approximation algorithms,"approximation algorithm, approximation theory, deterministic approximation, efficient algorithms, universal approximation theorem, iterative algorithms, sparse approximation, abstract algorithms, standard computer algorithms, sequential algorithms"
approximation theory,"approximation algorithm, approximation algorithms, universal approximation theorem, deterministic approximation, sparse approximation, optimization theory, algorithm theory, algorithmic complexity theory, complexity theory, probability theory"
arbitrary data structures,"data structures, abstract data structures, data structure, structured data sets, structured data, data abstraction, data objects, data sets, compressed data structure, data elements"
arnoldi iteration,jacobi iteration method
array list,"dynamic array, mutable array, dynamically allocated array, bit array, resizable array, linked list, compressed suffix array, unrolled linked list, adjacency list"
artificial bee colony algorithm,"baumwelch algorithm, distributed artificial intelligence, karatsuba algorithm, optimization algorithm, algorithm design technique, deterministic algorithm, supervised learning algorithm, artificial neural network, serial algorithm, robbinsmonro optimization algorithm"
artificial consciousness,"synthetic consciousness, machine consciousness, symbolic artificial intelligence, artificial intelligence, traditional artificial intelligence, artificial systems, artificial intelligent agents, artificial neurons, subsymbolic artificial intelligence, artificial intelligence laboratory"
artificial intelligence,"artificial intelligence laboratory, traditional artificial intelligence, symbolic artificial intelligence, distributed artificial intelligence, subsymbolic artificial intelligence, artificial intelligent agents, distributed artificial intelligence systems, computational intelligence, intelligence analysis, artificial neural network"
artificial intelligence laboratory,"artificial intelligence, traditional artificial intelligence, symbolic artificial intelligence, distributed artificial intelligence, distributed artificial intelligence systems, artificial intelligent agents, subsymbolic artificial intelligence, artificial neural network, intelligence analysis, computational intelligence"
artificial intelligent agents,"intelligent agents, intelligent agent, intelligent agent paradigm, artificial intelligence, symbolic artificial intelligence, artificial intelligence laboratory, traditional artificial intelligence, distributed artificial intelligence, intelligent machines, artificial systems"
artificial neural network,"artificial neural networks, neural network, numeric artificial neural networks, neural networks, physical neural network, physical neural networks, computational neural network models, neural network toolbox, deep neural networks, neural networks training"
artificial neural networks,"artificial neural network, numeric artificial neural networks, neural networks, neural network, physical neural networks, computational neural network models, physical neural network, deep neural networks, neural networks training, neural network toolbox"
artificial neurons,"simulated neurons, artificial neural networks, artificial neural network, artificial neurons stochastic transfer functions, artificial systems, artificial consciousness, numeric artificial neural networks, traditional artificial intelligence, artificial intelligence, symbolic artificial intelligence"
artificial neurons stochastic transfer functions,"artificial neurons, stochastic diffusion search, stochastic process, stochastic gradient descent, simulated neurons, stochastic control, stochastic optimization, stochastic matrix, stochastic version, stochastic differential equations"
artificial systems,"adaptive systems, distributed artificial intelligence systems, artificial intelligent agents, systems theory, systems engineering, computational systems, embedded systems, symbolic artificial intelligence, traditional artificial intelligence, artificial intelligence"
assembling sequences,"input sequences, polynomial sequences, bit sequences, model sequences, protein sequences"
assembly language programmers,"programming language, programming language theory, computer language, programming language semantics, scientific programming language, logic programming language, implementation language, octave scripting language, hardware description language, language model"
association rule learning,"hopfield learning rule, rule-based machine learning, similarity learning, ensemble learning method, learning theory, learning method, supervised learning model, supervised learning models, polymorphic association, supervised learning"
associative arrays,"associative classifier, dynamic prefetched arrays, static arrays"
associative classifier,"associative arrays, classifier chain, margin classifier"
asymptotic analysis,"regression analysis, nonlinear global analysis, functional analysis, linear discriminant analysis, mathematical analysis, bivariate analysis, discriminant function analysis, multivariate analysis, normal discriminant analysis, convergence analysis"
asymptotically efficient multiplication algorithm,"fast multiplication algorithms, matrix multiplication, efficient algorithms, polynomial time algorithm, approximation algorithm, toomcook multiplication, optimization algorithm, deterministic algorithm, greedy algorithm, learning algorithm"
attention mechanisms,
audit trail records,
augmented reality,virtual reality
authentication mechanism,"message authentication codes, data origin authentication"
automata theory,"finite automata theory, systems theory, algorithm theory, dynamical systems theory, combinatorial game theory, algorithmic information theory, graph theory, compiler theory, algorithmic complexity theory, control theory"
automata-based programming,"automatic programming, computer programming, functional programming, Object Oriented Programming, object oriented programming, evolutionary programming, computer programming tasks, logic programming, logic programming languages, programming paradigm"
automated space docking,"address space, virtual address space, problem space, virtual memory address space, storage space, sample space, dimensional space, code space, binary space partitioning, euclidean space"
automatic memory management,"memory management, memory management unit, conventional dynamic memory allocation libraries, special memory allocation libraries, memory allocation, memory protection, memory debuggers, memory debugger, memory sharing, memory search"
automatic programming,"automata-based programming, computer programming, sequential linear programming, linear programming, successive linear programming, programming paradigm, computer programming tasks, functional programming, programming environments, evolutionary programming"
automatic speech recognition,"speech recognition, speech detection, speech processing, speech activity detection, speech processing applications, speech signals, neurocomputational speech processing, speech tagging, gesture recognition, object recognition technology"
autonomic computing,"autonomic networking, human-centered computing, computing machinery, advanced computing environment, computing power, scientific computing, bio-inspired computing, soft computing, numerical computing programs, distributed computing"
autonomic networking,"autonomic computing, active networking, traditional computer networking, synchronous optical networking, delay-tolerant networking, tolerant networking algorithms"
autonomous operation,"autonomous processing nodes, binary operation, bitwise operation"
autonomous processing nodes,"central processing unit, autonomous operation, processing unit, processing power, accelerated processing unit, semiautomatic data processing systems, signal processing, graphics processing unit, neural information processing workshop, digital picture processing"
avl trees,"thus trees, search trees, binary trees, spanning trees, path trees, extended binary trees, join trees, decision trees, clique trees, binary search trees"
axiomatic set theory,"systems theory, control theory, algorithm theory, category theory, automata theory, vague set, algorithmic information theory, finite automata theory, approximation theory, coding theory"
back end,
backfitting algorithm,"forward algorithm, matching algorithm, recursive algorithm, parallel algorithm, supervised learning algorithm, algorithm theory, online algorithm, linear programming algorithm finds, algorithm design technique, polynomial time algorithm"
background assumption,"smoothness assumption, markov assumption"
backpropagation based artificial neural networks,"fully recurrent neural networks, recurrent neural networks, artificial neural networks, artificial neural network, recurrent neural network, neural networks, neural network, deep neural networks, continuous-time recurrent neural networks, feedforward neural network"
backward euler method,"implicit euler method, iterative method, theoretic method, numerical method, markowitz method, jacobi iteration method, jacobi method, supervised method, spectral method, proof method"
balanced binary search trees,"balancing binary search tree, binary search trees, self-balancing binary search tree, binary search tree, binary search tree algorithm, binary search tree data structures, search trees, binary trees, extended binary trees, uniform binary search"
balanced tree,"weight-balanced tree, rooted tree, spanning tree generation, ordered tree, tree decomposition, untyped tree structure, parallel tree contraction, tree traversal, tree decompositions, tree contraction"
balancing binary search tree,"self-balancing binary search tree, balanced binary search trees, binary search tree, binary search trees, binary search tree algorithm, binary search tree data structures, uniform binary search, search trees, binary tree, sorted binary tree"
based learning,"based learning algorithms, based machine learning, supervised learning, learning method, human learning, semi-supervised learning, computer learning, instance-based learning, supervised learning model, supervised learning models"
based learning algorithms,"learning algorithm, supervised learning algorithm, machine learning algorithms, based learning, based machine learning, kernelized learning algorithms, efficient algorithms, learning method, supervised machine learning, classification algorithms"
based machine learning,"machine learning, supervised machine learning, online machine learning, rule-based machine learning, machine learning algorithms, machine learning tasks, based learning algorithms, based learning, supervised learning algorithm, computer learning"
baseline method,"supervised method, evaluation method, numerical method, jacobi method, gaussseidel method algorithm, markowitz method, ensemble learning method, accurate identification method, iterative method, learning method"
basic function,"exact function, mathematical function, function abstraction, linear function, function evaluates, continuous function, differentiable function, learnable function class, primitive recursive function, linear objective function"
batch learning techniques,"learning method, supervised machine learning, machine learning tasks, machine learning, supervised learning, supervised learning model, supervised learning models, semi-supervised learning, based machine learning, supervised learning algorithm"
batch processing,"processing unit, accelerated processing unit, processing data streams, amd accelerated processing unit, amd accelerated processing units, central processing unit, processing power, complex event processing, bit central processing unit, data processing industry"
baudot code,"binary lexicographic code, source code, code libraries, computer code, code development, computer program source code, lexicographic code, condition code register, code space, google code"
baumwelch algorithm,"sweep line algorithm, gaussseidel method algorithm, artificial bee colony algorithm, SchÃ¶nhageÂStrassen algorithm, plane sweep algorithm, schnhagestrassen algorithm, compound algorithm, thomas algorithm, optimization algorithm, algorithm design technique"
bayes net,bayes network
bayes network,"bayes net, bayesian network, network browsing, computer network, network architecture, network protocol, network environments, decision network, organizational network, internal network"
bayesian information,"Bayesian information criterion, bayesian network, bayesian networks, generalised bayesian networks, bayesian svm, nonparametric bayesian models, bayesian svms, linear bayesian svm, bayesian kernel support vector machine, information theory"
Bayesian information criterion,"bayesian information, bayesian network, bayesian networks, generalised bayesian networks, nonparametric bayesian models, bayesian svm, bayesian svms, linear bayesian svm, algorithmic information theory, information theory"
bayesian kernel support vector machine,"support vector machines algorithm, support vector machines, vector machine models, linear bayesian svm, bayesian svms, bayesian svm, bayesian networks, generalised bayesian networks, bayesian network, kernel density estimation"
bayesian network,"bayesian networks, generalised bayesian networks, bayesian information, Bayesian information criterion, bayesian svm, bayesian svms, nonparametric bayesian models, linear bayesian svm, bayesian kernel support vector machine, bayes network"
bayesian networks,"bayesian network, generalised bayesian networks, bayesian information, Bayesian information criterion, bayesian svms, bayesian svm, nonparametric bayesian models, linear bayesian svm, bayesian kernel support vector machine, neural networks"
bayesian svm,"bayesian svms, linear bayesian svm, bayesian networks, bayesian network, bayesian information, generalised bayesian networks, Bayesian information criterion, structured svm, bayesian kernel support vector machine, nonparametric bayesian models"
bayesian svms,"bayesian svm, linear bayesian svm, bayesian networks, bayesian network, generalised bayesian networks, bayesian information, Bayesian information criterion, bayesian kernel support vector machine, nonparametric bayesian models"
bcjr algorithm,"karatsuba algorithm, thomas algorithm, viterbi algorithm, support vector machines algorithm, algorithm design technique, algorithm theory, linear programming algorithm finds, gaussseidel method algorithm, learning algorithm, approximation algorithm"
behavioral software design pattern,"Software design pattern, software design, software design description, application design, design patterns, design pattern, user experience design, User interface design, user interface design, object-oriented design"
belief network,"deep belief networks, decision network, network architecture, organizational network, computer network, bayesian network, network environments, dependency network, network elements, computer network architecture"
bernstein basis polynomials,"bernstein polynomials, bernstein polynomial"
bernstein polynomial,"bernstein polynomials, bernstein basis polynomials, polynomial expression, characteristic polynomial, polynomial decomposition, graph polynomial, polynomial sequence, polynomial decomposition theorem"
bernstein polynomials,"bernstein basis polynomials, bernstein polynomial, monic polynomials"
beta encoder,beta encoders
beta encoders,beta encoder
biased estimation,kernel density estimation
bidirectional forwarding detection,"speech detection, feature detection, intrusion detection, speech activity detection, error detection"
big data,"big data applications, data storage, digital data, data stream clustering, data analysis, data mining, data model, data structure, data streaming algorithms, data processing industry"
big data applications,"big data, data processing industry, data storage, data center, data streaming algorithms, digital data, data warehouse, embedded data, multimedia data, data stream clustering"
binary arithmetic,"binary operation, binary inputs, binary floating point, binary splitting, compute arithmetic operations, binary file, binary vectors, binary tree, binary lexicographic code, binary space partitioning"
binary dependent variable,"independent variable, linearly dependent, binary operation, binary inputs, binary splitting, binary floating point, binary tree, random binary tree, binary file, binary trees"
binary file,"binary operation, binary splitting, binary inputs, binary tree, binary arithmetic, binary lexicographic code, binary search tree, binary space partitioning, binary search trees, binary trees"
binary floating point,"binary arithmetic, binary inputs, binary vectors, binary operation, binary splitting, binary file, binary space partitioning, binary tree, binary dependent variable, random binary tree"
binary inputs,"binary operation, binary arithmetic, binary splitting, binary file, binary floating point, binary vectors, binary dependent variable, binary tree, binary lexicographic code, binary search tree"
binary lexicographic code,"binary lexicographic codes, lexicographic code, code libraries, source code, binary file, binary tree, binary operation, binary search tree, binary inputs, binary arithmetic"
binary lexicographic codes,"binary lexicographic code, lexicographic code, binary tree, message authentication codes, uniform binary search, binary search tree, binary trees, binary search trees, binary search tree data structures, binary inputs"
binary operation,"binary arithmetic, binary inputs, binary splitting, binary file, binary dependent variable, bitwise operation, binary floating point, binary tree, binary lexicographic code, binary vectors"
binary search tree,"binary search trees, binary search tree algorithm, balanced binary search trees, balancing binary search tree, binary search tree data structures, self-balancing binary search tree, binary tree, binary trees, sorted binary tree, uniform binary search"
binary search tree algorithm,"binary search tree, binary search trees, balanced binary search trees, balancing binary search tree, binary search tree data structures, self-balancing binary search tree, search algorithm, binary tree, search algorithms, sorted binary tree"
binary search tree data structures,"binary search tree, binary search trees, binary search tree algorithm, balanced binary search trees, balancing binary search tree, self-balancing binary search tree, binary tree, binary trees, search data structure, sorted binary tree"
binary search trees,"binary search tree, balanced binary search trees, binary search tree algorithm, balancing binary search tree, binary search tree data structures, binary trees, self-balancing binary search tree, search trees, binary tree, extended binary trees"
binary space partitioning,"binary splitting, binary file, dimensional space, binary arithmetic, binary operation, problem space, binary vectors, storage space, memory space, euclidean space"
binary splitting,"binary operation, binary space partitioning, loop splitting, binary file, binary inputs, generalised loop splitting, matrix splitting, binary arithmetic, binary tree, binary trees"
binary tree,"binary trees, extended binary trees, binary search tree, random binary tree, sorted binary tree, binary search trees, random binary trees, binary search tree data structures, binary search tree algorithm, bsp tree"
binary trees,"binary tree, extended binary trees, random binary trees, binary search trees, binary search tree, random binary tree, binary search tree data structures, balanced binary search trees, sorted binary tree, thus trees"
binary vectors,"support vectors, row vectors, random vectors, binary inputs, binary floating point, binary arithmetic, binary tree, binary operation, binary splitting, binary trees"
bio-inspired computing,"biologically inspired computing, scientific computing, computing resources, advanced computing environment, computing machinery, cryogenic computing, human-centered computing, distributed computing environment, autonomic computing, affective computing"
biodiversity informatics,informatics techniques
biological computation,"natural computation, biological data, evolutionary computation, symbolic computation, symbolic-numeric computation, numeric computation, quantum computation language, computation time, size computation"
biological data,"biological computation, data objects, data type, original data, data structure, data analysis, term data model, raw data, data model, data stored"
biologically inspired computing,"bio-inspired computing, affective computing, advanced computing environment, computing resources, cryogenic computing, distributed computing environment, distributed computing, statistical computing, soft computing, quantum computing"
bit array,"bit string, bit manipulation, bit manipulations, bit sequences, bit slicing, bit bashing, array list, dynamic array, mutable array, bit twiddling"
bit bashing,"bit string, bit manipulation, bit manipulations, bit slicing, bit sequences, bit array, bit twiddling, bit central processing unit, residual bit error rate, bit mips processors"
bit central processing unit,"central processing unit, processing unit, bit manipulation, bit manipulations, accelerated processing unit, residual bit error rate, amd accelerated processing unit, bit sequences, bit mips processors, amd accelerated processing units"
bit manipulation,"bit manipulations, bit slicing, bit twiddling, bit bashing, bit sequences, bit string, bit array, bit central processing unit, residual bit error rate, bit mips processors"
bit manipulations,"bit manipulation, bit slicing, bit twiddling, bit bashing, bit sequences, bit string, bit array, bit central processing unit, residual bit error rate, bit mips processors"
bit mips processors,"network processors, computer processors, scalar processors, single core processors, bit central processing unit, clipper processors, residual bit error rate, bit bashing, bit manipulation, bit manipulations"
bit sequences,"bit string, bit manipulations, bit manipulation, input sequences, bit slicing, bit array, bit bashing, assembling sequences, bit central processing unit, polynomial sequences"
bit slicing,"bit manipulation, bit manipulations, bit bashing, bit string, bit sequences, bit array, bit twiddling, bit central processing unit, residual bit error rate, bit mips processors"
bit string,"bit array, bit bashing, bit sequences, bit manipulation, bit manipulations, bit slicing, bit twiddling, residual bit error rate, bit central processing unit, string kernel"
bit twiddling,"bit manipulation, bit manipulations, bit bashing, bit string, bit slicing, bit central processing unit, bit array, bit sequences, residual bit error rate, bit mips processors"
bitwise operation,"bitwise operations, binary operation, autonomous operation"
bitwise operations,"bitwise operation, compute arithmetic operations, numerical operations, matrix operations, data retrieval operations"
bivariate analysis,"multivariate analysis, regression analysis, functional analysis, data analysis, asymptotic analysis, combinatorial data analysis, business analysis, discriminant function analysis, mathematical analysis, normal discriminant analysis"
bloch representation,"formal knowledge representation languages, representation curve, representation learning, genetic representation, graphic representation"
block cipher,"shift cipher, vigenre cipher, caesar cipher, server message block, block lanczos algorithm, block range index"
block lanczos algorithm,"Symmetric-key algorithm, parallel algorithm, kargerstein algorithm, approximation algorithm, deterministic algorithm, shuffling algorithm, key algorithm, monte carlo algorithm, SchÃ¶nhageÂStrassen algorithm, gaussseidel method algorithm"
block range index,"database index, block cipher, block lanczos algorithm, server message block"
boltzmann learning rule,"deep boltzmann machines, deep boltzmann machine, learning theory, computational learning theory, learning vector quantization, machine learning, rule-based machine learning, learning method, learning algorithm, deep learning"
bonferroni testing,
boolean algebra,"boolean operators, boolean functions, boolean logic, boolean function, linear algebra, abstract algebra, computer algebra, numerical linear algebra, relational algebra, computer algebra systems"
boolean function,"boolean functions, boolean operators, boolean logic, boolean algebra, differentiable function, function evaluates, hash function, mathematical function, basic function, logistic function"
boolean functions,"boolean function, boolean operators, boolean algebra, boolean logic, hash functions, math functions, primitive recursive functions, general recursive functions, main functions, complex functions"
boolean logic,"boolean function, boolean algebra, boolean functions, boolean operators, logic programming, mathematical logic, logic program, logic gate, logic programming language, classical logic"
boolean operators,"boolean algebra, boolean function, boolean functions, boolean logic"
boosting methods,"Gradient boosting, gradient boosting, computer methods, lossy methods, computational methods, optimization methods, probabilistic methods, regularization methods, information technology methods, linear regularization methods"
boundary singularity,decision boundary
bounded flat surface,sweep surface
bounds checking,complexity bounds
brute-force search,"search algorithms, exhaustive search, search algorithm, uniform binary search, classic search algorithms, self-balancing binary search tree, search trees, balancing binary search tree, binary search tree algorithm, balanced binary search trees"
bsp tree,"binary tree, binary search tree, untyped tree structure, rooted tree, balanced tree, plane tree, tree traversal, sorted binary tree, tree decomposition, spanning tree generation"
buffer overflows,buffer overflowsruntime error detection tools
buffer overflowsruntime error detection tools,buffer overflows
business analysis,"business functions, business rule processing, structured analysis, functional analysis, oriented analysis, mathematical analysis, text analysis, bivariate analysis, multivariate analysis, software performance analysis"
business functions,"business analysis, business rule processing, evaluation functions, complex functions, main functions, math functions, general recursive functions, polynomial functions, fold functions, radial functions"
business rule processing,"business functions, business analysis, processing unit, data processing industry, complex event processing, processing power, association rule learning, hopfield learning rule, batch processing, distributed information processing"
c4 model,"data model, model sequences, semi-structured model, structured model, graphical model, multinomial model, term data model, data base model, statistical model, directed graphical model"
cache coherence,cpu cache
caesar cipher,"caesar shift, vigenre cipher, shift cipher, block cipher"
caesar shift,"caesar cipher, markov shift, shift cipher, mean shift algorithm"
call stack,"stack machine, stack register, main stack register, stack space, method call"
cambridge quantum computing,"quantum computing, quantum computer, quantum computation language, quantum data, quantum programming, quantum information, topological quantum computer, quantum cryptography, quantum information theory, quantum programming environment"
cannot compute,compute arithmetic operations
case gradient descent,"gradient descent, stochastic gradient descent"
categorical distribution,"categorical label, multivariate normal distribution, probability distribution, normal distribution, conditional probability distribution, joint probability distribution, gaussian distribution, joint distribution, point distribution model, maximum entropy probability distribution"
categorical label,"categorical distribution, output label"
categorize unlabeled data,"unlabeled data, unlabeled input data, structured data mining, labeled data, data mining, data sets, structured data sets, structured data, data abstraction, arbitrary data structures"
category theory,"information theory, compiler theory, formal language theory, learning theory, systems theory, axiomatic set theory, complexity theory, algorithm theory, modern decision theory, algorithmic information theory"
central processing unit,"processing unit, bit central processing unit, accelerated processing unit, processing power, autonomous processing nodes, graphics processing unit, semiautomatic data processing systems, amd accelerated processing unit, amd accelerated processing units, batch processing"
